longitude,latitude,altitude,speed,course,date,time,satellites
-40.217994,-20.200132,89.6,33.1,354.4,250817,17420100,7
-40.218067,-20.199399,87.3,38.5,355.2,250817,17420600,9
-40.218124,-20.198675,83.3,32.8,356.8,250817,17421100,10
-40.218078,-20.198226,86.3,15.1,30.7,250817,17421600,11
-40.217884,-20.198080,86.0,5.1,53.1,250817,17422200,11
-40.217731,-20.198102,83.7,10.9,134.5,250817,17422700,11
-40.217548,-20.198318,81.4,15.5,143.1,250817,17423200,10
-40.217369,-20.198539,80.1,11.2,143.0,250817,17423700,10
-40.217338,-20.198657,81.0,1.0,185.5,250817,17424200,10
-40.217334,-20.198663,82.7,0.0,185.5,250817,17424700,10
-40.217330,-20.198667,85.3,0.0,185.5,250817,17425200,10
